Rank,Name,Website,Sector,Absolute growth rate (in %),Compound annual growth rate (CAGR) (in %),Revenue 2019 (in SGD),Revenue 2016 (in SGD),Number of employees 2019,Number of employees 2016,Founding year
1,Carro,http://www.carro.sg,Technology,14158.5,422.4,117800000.0,826176.0,400.0,10.0,2015
2,SCI Ecommerce,http://www.sciecomm.com,E-commerce,7479.7,323.2,62860749.0,829332.0,92.0,12.0,2014
3,Roadbull Logistics,http://roadbull.com,Technology,3961.6,243.7,9227079.0,227178.0,135.0,34.0,2015
4,Ninja Van Logistics,http://www.ninjavan.co,Transport,2736.7,205.0,340400000.0,12000000.0,25655.0,1633.0,2014
5,Blue Wireless,http://www.bluewireless.com,Telecoms,2367.5,191.1,3818537.0,154752.0,25.0,4.0,2015
6,RedDoorz,http://www.reddoorz.com,Travel and leisure,2262.5,186.9,11600000.0,491000.0,1556.0,49.0,2015
7,BR Metals,http://www.brmetalsltd.com,Waste management and recycling,1927.1,178.9,146509106.0,7227568.0,16.0,6.0,2009
8,Coda Payments,http://codapayments.com,Fintech,1581.7,162.0,109574188.0,6515847.0,104.0,19.0,2011
9,Thermomix Singapore/The Future of Cooking,http://www.thermomix.com.sg,Retail,1488.8,151.4,11395916.0,717285.0,10.0,8.0,2016
10,WAVE Life Sciences,http://wavelifesciences.com,Health,1267.9,144.6,21609815.0,1579775.0,301.0,96.0,2012
11,Nium,http://www.nium.com,Fintech,999.2,122.3,9981000.0,908000.0,334.0,118.0,2014
12,SQREEM Technologies,http://www.sqreemtech.com,Technology,941.2,118.4,7596009.0,729554.0,101.0,32.0,2010
13,Ecommerce Enablers,http://www.shopback.sg,E-commerce,851.4,111.9,38608803.0,4058029.0,465.0,120.0,2014
14,Redhill Communications,http://redhill.world,Advertising,788.4,107.1,4345204.0,489126.0,75.0,16.0,2014
15,Prince Education,http://www.princeeducation.com.sg,Education,700.0,100.0,2000000.0,250000.0,8.0,3.0,2008
16,Grain,http://grain.com.sg,Food and beverage,612.9,92.5,13580000.0,1905000.0,155.0,33.0,2014
17,Sing Fuels,http://www.singfuels.com,Transport,515.9,87.5,571201043.0,92739790.0,28.0,13.0,2012
18,I Switch,http://www.iswitch.com.sg,Energy,552.5,86.9,129738185.0,19882095.0,57.0,11.0,2015
19,Declarators,http://www.declarators.com.sg,Transport,539.4,85.6,1512319.0,236539.0,24.0,9.0,2014
20,2C2P,http://www.2c2p.com,Fintech,480.1,83.8,109973865.0,18957088.0,343.0,168.0,2003
21,Fundnel,http://fundnel.com,Fintech,493.6,81.1,5796679.0,976567.0,28.0,14.0,2015
22,A-Plus Automation,http://www.aplus-am.com,Industrial goods,376.3,68.3,27930782.0,5863775.0,13.0,11.0,2010
23,Aem Holdings,http://www.aem.com.sg,Industrial goods,360.8,66.4,323130000.0,70123000.0,527.0,295.0,2000
24,Ahrefs,http://www.ahrefs.com,Technology,311.6,63.9,68199278.0,16568173.0,25.0,13.0,2012
25,Penguin International,http://www.penguin.com.sg,Industrial goods,308.1,59.8,136337000.0,33405000.0,,,1995
26,Sunseap Group,http://www.sunseap.com,Energy,308.0,59.8,103410983.0,25346563.0,185.0,82.0,2011
27,Align Group,http://www.aligngroup.asia,Management consulting,306.2,59.6,1913558.0,471137.0,18.0,8.0,2012
28,AJ2 Holdings,http://www.tcb.com.sg,Interiors,256.7,52.8,5350000.0,1500000.0,34.0,10.0,2014
29,MiRXES,http://mirxes.com,Technology,255.5,52.6,3592530.0,1010529.0,40.0,7.0,2014
30,SirionLabs,http://www.sirionlabs.com,Technology,229.4,52.2,15396141.0,4673885.0,450.0,180.0,2012
31,Gushcloud,http://www.gushcloud.com,Media,248.2,51.6,23853108.0,6850632.0,200.0,50.0,2012
32,Bluconnection,http://bluconnection.com,Fashion,212.3,49.5,51861504.0,16604818.0,8.0,6.0,2009
33,Vita Group,http://www.vita-commodities.com,Industrial goods,208.8,45.6,15049463.0,4873202.0,8.0,4.0,2003
34,KSE Marine Works,http://www.ksemarine.com,Construction,208.6,45.6,24700000.0,8003000.0,120.0,30.0,2004
35,90 Seconds,http://90seconds.com,Technology,181.1,44.3,10095757.0,3591872.0,67.0,87.0,2010
36,Wewe Media Group,http://www.wewemedia.com,Sales and marketing,175.5,43.4,13026783.0,4728733.0,8.0,7.0,2013
37,OneCare Medical,http://www.onecaremedical.com.sg,Health,183.9,41.6,16406221.0,5778103.0,180.0,80.0,2013
38,The Drinkery,http://www.thirsty.com.sg,Food and beverage,179.0,40.8,3411324.0,1222675.0,10.0,4.0,2014
39,FoodLine.sg,http://www.foodline.sg,E-commerce,159.9,37.5,2561723.0,985730.0,18.0,8.0,2013
40,Atlantic Navigation Holdings,http://www.atlanticnavigation.com,Support services,139.9,36.9,103456162.0,43119744.0,,,1997
41,Mlion Corporation,http://www.mlioncorp.com,Industrial goods,130.9,35.2,74619684.0,32313957.0,13.0,10.0,2011
42,Union Gas Holdings,http://www.uniongas.com.sg,Energy,120.6,30.2,78801000.0,35725000.0,228.0,121.0,2016
43,Rewind Networks,http://www.rewindnetworks.com,Media,95.0,27.8,7478889.0,3835192.0,12.0,9.0,2012
44,Resonant Networks,http://resonantnetworks.com,Telecoms,98.0,25.6,5328687.0,2690803.0,18.0,12.0,2013
