Rank,Name,Sector,Absolute growth rate,Compound annual growth rate (CAGR),Revenue 2021,Revenue 2018,Number of employees 2021,Number of employees 2018,Founding year,Website
1,Rex International Holding,Energy & Utilities,38829.7,630.18,214168755.0,555474.0,73.0,28.0,2013,https://www.rexih.com
2,NW Corporation,Energy & Utilities,27770.4,553.2,492278936.0,1783435.0,12.0,2.0,2016,https://nwcorp.sg/
3,Doctor Anywhere,Health Care & Life Sciences ,10865.7,378.64,31867788.0,290613.0,480.0,50.0,2017,https://doctoranywhere.com
4,Maneuver Marketing,Ecommerce ,3539.7,231.4,114766271.0,3183729.0,29.0,16.0,2001,https://www.maneuvermarketing.com
5,StashAway,"Fintech, Financial Services & Insurance ",2669.8,202.56,8065361.0,291189.0,194.0,37.0,2016,https://www.stashaway.sg
6,SCI Ecommerce,Ecommerce ,1602.5,157.25,316852000.0,18611454.0,236.0,33.0,2014,https://www.sciecomm.com
7,KKIS,Education & Social Services ,1341.1,143.35,4024917.0,279300.0,29.0,12.0,2017,https://kindlekids.sg
8,Aspire,"Fintech, Financial Services & Insurance ",1107.0,129.39,9434992.0,781683.0,243.0,20.0,2017,https://aspireapp.com
9,Sea,Leisure & Entertainment,1103.8,129.19,13456430323.0,1128645926.0,67300.0,22600.0,2009,https://www.sea.com
10,Helicap,"Fintech, Financial Services & Insurance ",1103.3,129.15,5268216.0,437825.0,18.0,9.0,2018,https://www.helicap.com
11,Stag Match Education and Training Group,Education & Social Services ,1089.1,128.25,2615395.0,219946.0,13.0,4.0,2016,https://www.smet.edu.sg
12,Coda Payments,"Fintech, Financial Services & Insurance ",984.1,121.32,418366635.0,38965287.0,421.0,52.0,2011,https://www.codapayments.com/
13,Rocketech,IT & Software ,778.3,106.32,1816571.0,206834.0,85.0,8.0,2017,https://rocketech.it
14,Moglix,Ecommerce ,761.0,104.96,439180000.0,51010586.0,1000.0,172.0,2015,https://business.moglix.com
15,GrabJobs,IT & Software ,751.1,104.17,2282200.0,268150.0,15.0,10.0,2015,https://grabjobs.co
16,Technopals,IT & Software ,745.7,103.74,21181879.0,2504541.0,258.0,47.0,2009,https://technopals.com
17,iCare Benefits Group,"Fintech, Financial Services & Insurance ",685.9,98.82,5421650.0,696568.0,125.0,82.0,2015,http://icarebenefits.asia
18,Handshakes,IT & Software ,643.3,95.16,7905384.0,1063563.0,120.0,56.0,2011,https://www.handshakes.com.sg
19,Workmate,IT & Software ,629.3,93.92,28979359.0,4012311.0,77.0,30.0,2015,https://www.workmate.asia
20,iX Biopharma,Pharmaceuticals & Cosmetics ,609.3,92.14,1745000.0,246000.0,44.0,41.0,2004,https://www.ixbiopharma.com
21,Mekhala,Food & Beverages ,603.3,91.59,2015108.0,286536.0,18.0,10.0,2012,https://www.mekhalaliving.com
22,Legend Logistics,Logistics & Transportation ,591.8,90.54,122753654.0,17915798.0,364.0,34.0,2012,https://www.legendlogisticsltd.com
23,OxPay,"Fintech, Financial Services & Insurance ",588.5,90.24,17544000.0,2548000.0,,,2005,https://oxpayfinancial.com
24,Haulio,Logistics & Transportation ,556.9,87.29,15042005.0,2289788.0,49.0,23.0,2016,https://www.haulio.io
25,UCARE.AI,IT & Software ,548.1,86.44,2171112.0,335000.0,11.0,4.0,2016,https://www.ucare.ai
26,Pragma,IT & Software ,514.5,83.17,2896500.0,471346.0,23.0,5.0,2016,https://pragmastrategy.com
27,Synagie,Ecommerce ,435.4,74.94,85932938.0,16051000.0,357.0,50.0,2017,https://synagie.com
28,Paneco.com,Ecommerce ,406.6,71.75,15587926.0,3077018.0,14.0,5.0,2016,https://www.paneco.com
29,Spiking,"Fintech, Financial Services & Insurance ",403.5,71.39,3630000.0,721000.0,15.0,10.0,2016,https://spiking.com
30,Singapore Realtors Inc,Real Estate ,387.6,69.57,131029815.0,26872985.0,34.0,10.0,2016,https://sri.sg/
31,Baltnav Singapore,Logistics & Transportation ,383.3,69.08,689983820.0,144141553.0,13.0,10.0,2017,https://www.baltnav.com
32,Deelish Brands,Food & Beverages ,379.3,68.6,5434617.0,1133926.0,80.0,10.0,2017,https://www.deelishbrands.com
33,JGL Worldwide,Logistics & Transportation ,366.4,67.08,59630501.0,12784535.0,31.0,23.0,2011,https://jglww.com
34,uParcel,Logistics & Transportation ,341.6,64.07,2009693.0,455060.0,40.0,8.0,2014,https://www.uparcel.sg
35,UG Healthcare Corporation,Health Care & Life Sciences ,333.5,63.06,338401000.0,78060000.0,1118.0,,1989,https://www.ughealthcarecorporation.com
36,Wewe Media,Advertising & Marketing ,316.2,60.86,30157264.0,7315896.0,6.0,10.0,2013,https://wewe.media
37,Declarators,Logistics & Transportation ,308.3,59.83,3623803.0,887494.0,51.0,20.0,2014,https://www.declarators.com.sg
38,Blue Wireless,Media & Telecommunications ,299.8,58.71,9179321.0,2296164.0,49.0,14.0,2015,https://www.bluewireless.com
39,Robocash Group,"Fintech, Financial Services & Insurance ",292.2,57.7,429940626.0,110679821.0,2080.0,1379.0,2013,https://robocash.group
40,Info-Tech,IT & Software ,285.8,56.83,27488820.0,7125696.0,80.0,68.0,2007,https://www.info-tech.com.sg/
41,Weima Builders,Construction & Engineering ,266.7,54.21,49442914.0,13481789.0,106.0,37.0,2017,https://weima.sg
42,Heroes of Digital,Advertising & Marketing ,265.2,54.0,4975800.0,1362500.0,26.0,15.0,2015,https://www.heroesofdigital.com
43,Korea Artiz Studio,"Professional, Scientific & Technical Services ",252.4,52.17,4080416.0,1158034.0,20.0,14.0,2017,https://www.artizstudio.sg
44,TDCX,"Professional, Scientific & Technical Services ",206.3,45.23,555198000.0,181233000.0,14706.0,5731.0,1995,https://www.tdcx.com
45,Bulkings Distribution,Wholesale ,201.6,44.48,16413734.0,5442684.0,20.0,11.0,2017,http://www.bulkings.com.sg
46,Viddsee,Media & Telecommunications ,201.0,44.38,6433039.0,2137374.0,35.0,28.0,2013,https://www.viddsee.com
47,Oom,Advertising & Marketing ,198.0,43.9,10981356.0,3685173.0,59.0,13.0,2006,https://www.oom.com.sg
48,Glife,Food & Beverages ,197.3,43.8,13989627.0,4704997.0,80.0,20.0,2017,https://glifefoods.com
49,Wave Life Sciences,Health Care & Life Sciences ,184.2,41.65,55371039.0,19672227.0,238.0,301.0,2012,https://www.wavelifesciences.com
50,Grand Venture Technology,Manufacturing,183.6,41.54,116256000.0,40997000.0,1153.0,,2012,https://gvt.com.sg
51,Redhill Communications,Advertising & Marketing ,179.7,40.89,7395240.0,2644255.0,51.0,17.0,2014,https://redhill.world
52,AHREFS,IT & Software ,159.2,36.48,115335291.0,44928932.0,39.0,21.0,2012,https://www.ahrefs.com
53,Eco Exchange,Waste management & recycling ,159.1,37.34,2090226.0,806809.0,18.0,12.0,2013,https://www.ecoexchange.com.sg
