dataset_year,period_start,period_end,rank,company_name,sector,absolute_growth_rate,compound_annual_growth_rate,revenue_start,revenue_end,employees_start,employees_end,founding_year,website
2021,2016,2019,1,Carro,Technology,14158.5,422.4,826176,,10,,2015,http://www.carro.sg
2021,2016,2019,2,SCI Ecommerce,Ecommerce,7479.7,323.2,829332,,12,,2014,http://www.sciecomm.com
2021,2016,2019,3,Roadbull Logistics,Technology,3961.6,243.7,227178,,34,,2015,http://roadbull.com
2021,2016,2019,4,Ninja Van Logistics,Transport,2736.7,205,12000000,,1633,,2014,http://www.ninjavan.co
2021,2016,2019,5,Blue Wireless,Telecoms,2367.5,191.1,154752,,4,,2015,http://www.bluewireless.com
2021,2016,2019,6,RedDoorz,Travel and leisure,2262.5,186.9,491000,,49,,2015,http://www.reddoorz.com
2021,2016,2019,7,BR Metals,Waste management and recycling,1927.1,178.9,7227568,,6,,2009,http://www.brmetalsltd.com
2021,2016,2019,8,Coda Payments,Fintech,1581.7,162,6515847,,19,,2011,http://codapayments.com
2021,2016,2019,9,Thermomix Singapore/The Future of Cooking,Retail,1488.8,151.4,717285,,8,,2016,http://www.thermomix.com.sg
2021,2016,2019,10,WAVE Life Sciences,Health,1267.9,144.6,1579775,,96,,2012,http://wavelifesciences.com
2021,2016,2019,11,Nium,Fintech,999.2,122.3,908000,,118,,2014,http://www.nium.com
2021,2016,2019,12,SQREEM Technologies,Technology,941.2,118.4,729554,,32,,2010,http://www.sqreemtech.com
2021,2016,2019,13,Ecommerce Enablers,Ecommerce,851.4,111.9,4058029,,120,,2014,http://www.shopback.sg
2021,2016,2019,14,Redhill Communications,Advertising,788.4,107.1,489126,,16,,2014,http://redhill.world
2021,2016,2019,15,Prince Education,Education,700,100,250000,,3,,2008,http://www.princeeducation.com.sg
2021,2016,2019,16,Grain,Food and beverage,612.9,92.5,1905000,,33,,2014,http://grain.com.sg
2021,2016,2019,17,Sing Fuels,Transport,515.9,87.5,92739790,,13,,2012,http://www.singfuels.com
2021,2016,2019,18,I Switch,Energy,552.5,86.9,19882095,,11,,2015,http://www.iswitch.com.sg
2021,2016,2019,19,Declarators,Transport,539.4,85.6,236539,,9,,2014,http://www.declarators.com.sg
2021,2016,2019,20,2C2P,Fintech,480.1,83.8,18957088,,168,,2003,http://www.2c2p.com
2021,2016,2019,21,Fundnel,Fintech,493.6,81.1,976567,,14,,2015,http://fundnel.com
2021,2016,2019,22,A-Plus Automation,Industrial goods,376.3,68.3,5863775,,11,,2010,http://www.aplus-am.com
2021,2016,2019,23,Aem Holdings,Industrial goods,360.8,66.4,70123000,,295,,2000,http://www.aem.com.sg
2021,2016,2019,24,Ahrefs,Technology,311.6,63.9,16568173,,13,,2012,http://www.ahrefs.com
2021,2016,2019,25,Penguin International,Industrial goods,308.1,59.8,33405000,,,,1995,http://www.penguin.com.sg
2021,2016,2019,26,Sunseap Group,Energy,308,59.8,25346563,,82,,2011,http://www.sunseap.com
2021,2016,2019,27,Align Group,Management consulting,306.2,59.6,471137,,8,,2012,http://www.aligngroup.asia
2021,2016,2019,28,AJ2 Holdings,Interiors,256.7,52.8,1500000,,10,,2014,http://www.tcb.com.sg
2021,2016,2019,29,MiRXES,Technology,255.5,52.6,1010529,,7,,2014,http://mirxes.com
2021,2016,2019,30,SirionLabs,Technology,229.4,52.2,4673885,,180,,2012,http://www.sirionlabs.com
2021,2016,2019,31,Gushcloud,Media,248.2,51.6,6850632,,50,,2012,http://www.gushcloud.com
2021,2016,2019,32,Bluconnection,Fashion,212.3,49.5,16604818,,6,,2009,http://bluconnection.com
2021,2016,2019,33,Vita Group,Industrial goods,208.8,45.6,4873202,,4,,2003,http://www.vita-commodities.com
2021,2016,2019,34,KSE Marine Works,Construction,208.6,45.6,8003000,,30,,2004,http://www.ksemarine.com
2021,2016,2019,35,90 Seconds,Technology,181.1,44.3,3591872,,87,,2010,http://90seconds.com
2021,2016,2019,36,Wewe Media Group,Sales and marketing,175.5,43.4,4728733,,7,,2013,http://www.wewemedia.com
2021,2016,2019,37,OneCare Medical,Health,183.9,41.6,5778103,,80,,2013,http://www.onecaremedical.com.sg
