Rank,Name,Sector,Absolute growth rate,Compound annual growth rate (CAGR),Revenue 2023,Revenue 2020,Number of employees 2023,Number of employees 2020,Founding year,Website
1,PFPFA,"Fintech, Financial Services & Insurance",4765.14,265.06,24325685.0,500000.0,189,4,2020,https://pfp-fa.com/
2,Focus Digital Technology Group,IT & Software,3154.78,219.28,6012192.0,184719.0,34,7,2020,https://focus.sg/
3,WIZ.AI,IT & Software,2681.04,202.97,12834794.0,462735.0,270,68,2019,https://www.wiz.ai/
4,Casa Mia Coliving,Real Estate,2675.37,202.77,5516746.0,198775.0,20,1,2019,https://www.casamia.co/
5,Gozem,IT & Software,1873.67,170.25,13559075.0,688823.0,455,162,2017,https://gozem.co/en/
6,elxa,Logistics & Transportation,1714.76,162.79,37723367.0,2078701.0,6,2,2020,https://elxa.io
7,PropertyLimBrothers,Advertising & Marketing,1569.73,155.59,6466156.0,387257.0,48,10,2017,https://www.propertylimbrothers.com/
8,The Assembly Place,Real Estate,1511.27,152.57,15567435.0,966159.0,38,8,2019,https://www.theassemblyplace.com/
9,Endowus,"Fintech, Financial Services & Insurance",1345.26,143.58,8832548.0,611138.0,106,31,2017,https://endowus.com/
10,GlobalTix,Hospitality & Travel,1281.4,139.94,87691024.0,6347996.0,130,53,2013,https://www.globaltix.com/
11,Yoowifi,Hospitality & Travel,1209.05,135.68,6249398.0,477401.0,18,3,2013,https://yoowifi.com/
12,Aspire,"Fintech, Financial Services & Insurance",989.96,121.72,53429837.0,4902002.0,441,90,2019,https://aspireapp.com/
13,Synagie,Ecommerce,779.32,106.4,126595000.0,14397000.0,383,202,2014,https://www.synagie.com/
14,ErudiFi,"Fintech, Financial Services & Insurance",767.5,105.47,4510700.0,521348.0,142,55,2020,https://erudifi.com/
15,HMD APAC,Wholesale,751.22,104.18,7281731.0,855444.0,6,1,2019,http://www.hmd-apac.com/
16,Propseller,Real Estate,750.88,104.15,7936962.0,932793.0,63,20,2018,https://propseller.com/
17,Xaltius,Education & Social Services,745.17,103.7,2134863.0,252595.0,50,5,2017,https://xaltius.tech/
18,REDEX Group,Energy & Utilities,629.01,93.9,6928083.0,952864.0,60,4,2018,https://redex.eco/
19,Nium,"Fintech, Financial Services & Insurance",575.96,89.08,144919414.0,21496024.0,1030,420,2014,https://www.nium.com/
20,InsiderSecurity,IT & Software,513.04,83.02,2930279.0,477994.0,30,15,2015,https://insidersecurity.co/
21,Weima Builders,Construction & Engineering,508.36,82.55,119705991.0,19676968.0,233,77,2017,https://weima.sg/
22,Conexus Studio,Construction & Engineering,470.28,78.66,28953202.0,5077007.0,62,10,2019,https://www.conexus.sg/
23,Webuy Global,Ecommerce,401.05,71.12,81339384.0,16276996.0,218,85,2018,https://www.webuysg.com/Investor/index.html
24,Maneuver Marketing,Ecommerce,397.47,70.71,207247992.0,41771266.0,36,20,2001,https://maneuvermarketing.com/
25,EasyTransfer,"Fintech, Financial Services & Insurance",391.93,70.07,35097620.0,7772160.0,326,138,2013,https://www.easytransfer.co.in/?country=IND
26,Fresh Laundry,Retail,370.11,67.52,3915689.0,832925.0,16,8,2006,https://freshlaundry.com.sg/
27,JDI,IT & Software,368.29,67.3,2266924.0,484083.0,10,3,2016,https://jdi.group/
28,Declarators,Logistics & Transportation,363.48,66.73,4891308.0,1055348.0,80,30,2014,https://declarators.com.sg/
29,Rex International Holding,Energy & Utilities,343.63,64.31,272969979.0,61694474.0,67,49,2013,https://www.rexih.com/
