Rank,Name,Website,Sector,Absolute growth rate (in %),Compound annual growth rate (CAGR) (in %),Revenue 2018 (in SGD),Revenue 2015 (in SGD),Number of employees 2018,Number of employees 2015,Founding year
1,Synagie Corporation,http://www.synagie.com,Ecommerce,8380.07438754431%,339.3391316426550%,"$16,051",$189,100,23,2014
2,Sinanju Tankers Holdings,http://www.sinanju.com.sg,Transport,3738.0952380952%,237.3172743111620%,"$806,000","$21,000",250,140,1992
3,Grab Holdings,http://www.grab.com,Technology,3603.7037037037%,233.3333333333330%,"$1,362,323","$36,783",6000,1000,2012
4,Coda Payments,http://www.codapay.com,Fintech,3423.5217963306%,227.8377703940670%,"$38,895","$1,104",61,22,2015
5,KC Group,http://www.kcgroup.sg,Retail,2417.5249648397%,193.0834276067320%,"$24,273",$964,50,100,2013
6,BR Metals,http://www.brmetalsltd.sg,Waste management & recycling,2175.5971341439%,183.3773443695580%,"$46,950","$2,063",14,6,2014
7,Roadbull Logistics,http://www.roadbull.com,Technology,2166.0098522168%,182.9788199849400%,"$4,600",$203,100,7,2015
8,GlobalTix,http://www.globaltix.com,Travel & Leisure,1950.0093978121%,173.6856019574830%,"$37,738","$1,841",48,6,2013
9,Red Dot Payment,http://reddotpayment.com,Fintech,1891.1832072895%,171.0422997968460%,"$8,354",$420,70,29,2011
10,Cynopsis Solutions,http://www.cynopsis.co,Technology,1337.7287092675%,143.1601009478850%,"$3,089",$215,30,3,2014
11,Sunseap Group,http://www.sunseap.com,Energy,1314.1581763684%,141.8239605131230%,"$46,529","$3,290",138,45,2015
12,Sqreem Technologies,http://sqreemtech.com,Technology,1197.3956845191%,134.9763479753380%,"$2,452",$189,66,19,2010
13,Blue Wireless,http://www.bluewireless.com,Telecoms,1170.3183867666%,133.3301506203030%,"$2,296",$181,21,1,2015
14,DROOTOO,http://www.drootoo.com,Technology,1150.0000000000%,132.0794416806390%,"$2,500",$200,25,7,2013
15,McMerhons,http://www.mcmerhons.com,Technology,900.0000000000%,115.4434690031880%,"$1,500",$150,10,10,2007
16,Boxgreen,http://www.boxgreen.co,Ecommerce,791.0891089109%,107.3196077842960%,"$1,800",$202,20,6,2014
17,Immigration@SG,http://www.iasg.com.sg,Support Services,768.8832548594%,105.5829731349970%,"$1,799",$207,20,2,2014
18,The Edge Property,http://www.edgeprop.sg,Property,659.0232876336%,96.5252542940730%,"$5,803",$764,82,38,2014
19,CoAssets,http://www.coassets.com,Fintech,614.1356498136%,92.5721908190080%,"$5,830",$816,74,17,2013
20,KSE Marine Works,http://www.ksemarine.com,Construction,600.0000000000%,91.2931182772390%,"$21,000","$3,000",88,40,2004
21,MM2 Asia,http://www.mm2entertainment.com,Media,594.3163440972%,90.7739753074730%,"$266,187","$38,338",279,n/a,2014
22,MiRXES,http://www.mirxes.com,Health,582.9232458483%,89.7247395327230%,"$2,354",$345,17,5,2014
23,Catapult Ventures,http://www.moneysmart.com,Fintech,491.4546573384%,80.8452690369750%,"$11,140","$1,883",167,16,2009
24,Align Group of Companies,http://www.aligngoc.com,Management Consulting,453.1362910738%,76.8523022374520%,"$2,013",$364,15,3,2012
