**Rank**	**Name**	**Sector**	**Absolute growth rate** ^(in %)^	**Compound annual growth rate (CAGR)** ^(in %)^	**Revenue 2020** ^(in SGD)^	**Revenue 2017** ^(in SGD)^	**Number of employees 2020**	**Number of employees 2017**	**Founding year**
1	<a href=https://www.workmate.asia/>Workmate</a>	Support Services	8750.5%	345.60%	16,472,391	187,834	82	35	2015
2	<a href=https://www.sciecomm.com/>SCI Ecommerce</a>	Ecommerce	7295.1%	319.70%	149,667,650	2,023,879	164	13	2014
3	<a href=https://www.haulio.io/>Haulio</a>	Transport	3294.2%	223.80%	7,755,156	228,481	21	3	2016
4	<a href=https://glints.com/>Glints Intern</a>	Support Services	2849.0%	209.00%	13,499,789	457,769	318	27	2013
5	<a href=https://carro.sg/>Carro</a>	Technology	1763.1%	165.10%	296,663,592	15,922,992	974	120	2015
6	<a href=https://www.360f.com/>360F</a>	Fintech	1732.9%	163.70%	5,006,258	273,127	30	5	2016
7	<a href=https://www.brmetalsltd.com/>BR Metals</a>	Waste management & recycling	1671.8%	160.70%	189,525,888	10,795,669	26	13	2009
8	<a href=https://www.bulkings.com.sg/>Bulkings Distribution</a>	Personal & Household Goods	1642.9%	159.30%	14,696,698	843,216	20	9	2017
9	<a href=https://www.nium.com/>Nium</a>	Fintech	1399.2%	146.60%	22,041,442	1,470,189	422	115	2015
10	<a href=https://www.hegen.com/>Hegen</a>	Personal & Household Goods	1282.1%	140.00%	33,539,409	2,426,628	22	10	2014
11	<a href=https://www.redpeak.sg/>Redpeak Advisers</a>	Financial Services	1229.1%	136.90%	13,953,225	1,049,863	7	4	2016
12	<a href=https://wavelifesciences.com/>WAVE Life Sciences</a>	Health	1097.9%	128.80%	26,586,967	2,239,907	217	168	2012
13	<a href=https://www.codapayments.com/>Coda Payments</a>	Fintech	1094.3%	128.60%	191,832,154	16,210,823	232	25	2011
14	<a href=https://fundingsocieties.com>Funding Societies</a>	Fintech	879.5%	114.00%	21,572,790	2,222,716	353	100	2015
15	<a href=https://incomlend.com/>Incomlend</a>	Fintech	839.1%	111.00%	3,610,839	388,056	37	8	2016
16	<a href=https://www.bluewireless.com/>Blue Wireless</a>	Telecoms	748.6%	104.00%	6,042,712	712,070	50	24	2015
17	<a href=https://www.jcojewellery.com>JCO Jewelry</a>	Ecommerce	746.1%	103.80%	8,454,305	999,263	21	5	2016
18	<a href=https://www.sparksystems.sg/>Spark Systems</a>	Fintech	694.5%	99.50%	1,756,422	221,063	49	26	2016
19	<a href=https://sqreemtech.com/>Sqreem Technologies</a>	Technology	671.2%	97.60%	8,070,114	1,046,466	175	48	2010
20	<a href=https://www.homage.sg/>Homage Co</a>	Health	610.7%	92.30%	7,000,000	985,000	120	15	2016
21	<a href=https://www.zairyo.com.sg>Zairyo</a>	Ecommerce	575.5%	89.00%	2,904,444	429,994	10	2	2014
22	<a href=https://declarators.com.sg/>Declarators</a>	Transport	452.9%	76.80%	3,040,313	549,883	37	13	2014
23	<a href=https://millenterprise.com/>Millennium Enterprise</a>	Retail	452.1%	76.70%	5,817,660	1,063,396	8	2	2016
24	<a href=https://wewe.media>Wewe Media Group</a>	Advertising	422.2%	73.50%	21,697,708	4,193,655	5	10	2013
25	<a href=https://roadbull.com/>Roadbull Logistics</a>	Technology	415.6%	72.80%	16,328,984	3,167,264	69	73	2015
26	<a href=https://www.shootsta.com>Shootsta</a>	Technology	374.1%	68.00%	2,914,891	614,887	30	4	2017
27	<a href=https://www.heroesofdigital.com>Heroes of Digital</a>	Advertising	369.8%	67.50%	4,115,830	876,051	28	6	2015
28	<a href=https://www.ctd.global>Connecting The Dots SG</a>	Telecoms	332.2%	62.90%	13,804,540	3,193,805	1	1	2016
29	<a href=https://www.inex.sg>INEX Innovate</a>	Health	294.6%	58.00%	6,992,290	1,788,483	35	13	2006
30	<a href=https://www.livingstonehealth.com.sg>Livingstone Health</a>	Health	262.0%	53.50%	20,078,730	5,546,977	80	20	2017
31	<a href=https://www.motorist.sg/>Motorist</a>	Automobiles	249.1%	51.70%	3,140,453	899,652	50	45	2015
32	<a href=https://nrt.com.sg/>NRT Trading & Engineering</a>	Support Services	246.3%	51.30%	12,447,742	3,594,721	474	166	2011
33	<a href=https://www.iswitch.com.sg>I Switch</a>	Energy	218.2%	47.10%	159,265,361	50,052,966	56	18	2017
34	<a href=https://www.ahrefs.com>Ahrefs</a>	Technology	217.7%	47.00%	86,741,880	27,554,773	27	16	2012
35	<a href=https://www.redhill.world>Redhill World</a>	Sales & Marketing	191.5%	42.90%	4,636,119	1,590,307	95	30	2014
36	<a href=https://www.yms.com.sg/>Yeap Medical Supplies</a>	Health	179.6%	40.90%	68,878,602	24,633,605	82	54	2000
37	<a href=https://www.firstcom.com.sg/>FirstCom Solutions</a>	Technology	177.8%	40.60%	7,761,512	2,793,624	158	65	2011
38	<a href=https://www.singfuels.com>Sing Fuels</a>	Transport	168.4%	39.00%	429,228,474	161,402,216	43	13	2012
39	<a href=http://www.venturergroup.com/>Venturer Group Corporate Solutions</a>	Support Services	163.9%	38.20%	4,448,422	1,685,692	79	30	2013
40	<a href=https://www.d-connect.net>Data Connect Technologies</a>	Technology	144.1%	34.60%	7,486,321	3,067,496	52	28	2003
41	<a href=https://www.qxyresources.com>QXY Resources</a>	Construction	143.9%	34.60%	54,714,772	22,434,291	103	78	2004
42	<a href=https://www.info-tech.com.sg/>Info-Tech Systems Integrators</a>	Technology	140.6%	34.00%	15,129,766	6,289,330	66	60	2007
43	<a href=https://aem.com.sg/>AEM Holdings</a>	Technology	134.2%	32.80%	518,959,000	221,622,000	645	439	1992
44	<a href=https://sri.sg/>SRI</a>	Property	121.5%	30.40%	50,915,323	22,988,278	12	6	2016
45	<a href=https://www.uniongas.com.sg/>Union Gas</a>	Energy	120.0%	30.00%	86,190,000	39,186,000	256	161	2016
46	<a href=https://www.iideas.com.sg>iideas</a>	Support Services	119.7%	30.00%	1,583,444	720,626	5	6	2016
47	<a href=https://triple-a.io/>Triple A Technologies</a>	Fintech	112.5%	28.60%	2,616,077	1,242,451	9	1	2017
48	<a href=https://www.nti-nanofilm.com/>Nanofilm Technologies International</a>	Technology	110.7%	28.20%	218,337,000	103,604,000	3188	1342	1999
49	<a href=https://www.tcb.com.sg/>AJ2</a>	Interiors	110.6%	28.20%	5,676,000	2,695,647	31	19	2014
50	<a href=https://www.mlioncorp.com/>Mlion Corporation</a>	Industrial Goods	110.2%	28.10%	88,087,812	42,293,302	26	10	2011
51	<a href=https://www.rewindnetworks.com/>Rewind Networks</a>	Media	108.9%	27.80%	8,230,717	3,977,191	11	10	2012
52	<a href=https://www.tankfullyfresh.com>Sin Chwee Mini Mart</a>	Retail	99.8%	26.00%	1,667,201	834,400	7	7	1990
53	<a href=https://www.businessedge.com.sg>Business Edge Personnel Services</a>	Support Services	98.4%	25.70%	37,000,000	18,648,000	15	17	1996
54	<a href=https://www.nuffielddental.com.sg/>Nuffield Dental</a>	Health	95.9%	25.10%	14,730,250	7,520,323	90	61	2014
55	<a href=https://www.e-tech.com.sg/>E-Tech Building Services</a>	Support Services	89.5%	23.70%	15,007,012	7,921,225	200	180	1990
56	<a href=http://meadwayshipping.com/>Meadway Shipping</a>	Transport	89.4%	23.70%	279,992,740	149,174,359	8	6	2010
57	<a href=https://www.apro.com.sg/>APRO-Asian Protection</a>	Support Services	81.4%	22.00%	73,380,000	40,442,504	1560	970	1985
58	<a href=https://www.gushcloud.com>Gushcloud Talent Agency</a>	Sales & Marketing	78.6%	21.30%	24,780,000	13,872,000	200	150	2011
59	<a href=https://boustead.sg/>Boustead</a>	Industrial Goods	78.1%	21.20%	685,710,000	385,106,000	1114	773	1828
60	<a href=http://www.wse.sg/>WSE</a>	Energy	77.6%	21.10%	2,265,000	1,275,000	13	9	2016
61	<a href=https://www.bluconnection.com>Bluconnection</a>	Chemicals	75.2%	20.50%	41,079,988	23,669,018	9	8	2009
62	<a href=https://www.ifastcorp.com/>iFAST Corporation</a>	Fintech	73.6%	20.20%	85,856,744	49,444,678	970	570	2000
63	<a href=https://www.activate.sg>Activate Interactive</a>	Technology	71.4%	19.70%	11,622,345	6,782,024	107	37	1997
64	<a href=https://corporate.shengsiong.com.sg/>Sheng Siong Group</a>	Retail	68.0%	18.90%	1,393,998,000	829,877,000	n/a	n/a	1985
65	<a href=https://www.gke.com.sg/>GKE Corporation</a>	Transport	66.5%	18.50%	118,986,000	71,464,000	896	786	2000
66	<a href=http://memiontec.com/>Memiontec</a>	Construction	66.2%	18.40%	34,605,851	20,825,000	n/a	n/a	1992
67	Caprico International	Wholesale Trade	62.8%	17.60%	64,194,324	39,797,379	3	2	1995
68	<a href=https://adroitoverseas.com/>Adroit Overseas</a>	Agricultural Commodities	51.2%	14.80%	130,369,499	87,007,525	10	8	2010
69	<a href=https://khaitan.com.sg/>Khaitan International</a>	Agricultural Commodities	44.5%	13.10%	114,600,817	80,026,026	5	3	1985
70	<a href=https://www.connectcue.com>Connect Group</a>	Travel & Leisure	42.4%	12.50%	9,496,836	6,667,287	154	124	2012
71	<a href=https://www.teshagroup.com/>Tesha Coporation</a>	Sales & Marketing	41.1%	12.20%	3,131,573	2,240,328	4	1	2012
72	<a href=https://www.asiaexcel.com.sg>Asia Excel</a>	Retail	41.0%	12.10%	8,012,354	5,682,544	25	20	2007
73	<a href=https://www.danovel.com>Danovel</a>	Manufacturing & Retailing	40.1%	11.90%	1,602,827	1,144,289	20	15	1996
74	<a href=http://www.cse-global.com/>CSE Global</a>	Technology	38.8%	11.50%	502,789,000	362,352,000	1278	n/a	1985
