**Rank**	**Name**	**Sector**	**Absolute growth rate** ^(in %)^	**Compound annual growth rate** ^(in %)^	**Revenue 2022** ^(in S$)^	**Revenue 2019** ^(in S$)^	**Number of employees in 2022**	**Number of employees in 2019**	**Founding year**
1	<a href=https://www.rexih.com/>Rex International Holding</a>	Energy & Utilities	126017.78%	980.42%	234,730,465	184,161	51	28	2013
2	<a href=https://eway-alliance.com/>ISO Tank Management</a>	Logistics & Transportation	5647.26%	285.91%	124,064,923	2,135,962	6	3	2014
3	<a href=https://www.skrya.com.sg/>SKRYA</a>	Waste management & recycling	3482.63%	229.66%	11,238,432	313,692	10	1	2019
4	<a href=https://kodekloud.com/>KodeKloud</a>	Education & Social Services	2936.32%	211.97%	7,029,648	231,519	7	2	2019
5	<a href=https://www.lionsbot.com/>Lionsbot</a>	Manufacturing	2052.01%	178.15%	21,660,384	1,006,517	128	25	2018
6	<a href=https://www.ixbiopharma.com/>iX Biopharma</a>	Pharmaceuticals & Cosmetics	2044.56%	177.83%	14,390,000	671,000	43	51	2004
7	<a href=https://maneuvermarketing.com/>Maneuver Marketing</a>	Ecommerce	1924.61%	172.55%	168,647,845	8,242,251	31	16	2001
8	<a href=https://rocketech.it/>Rocketech</a>	IT & Software	1463.25%	150.04%	2,409,265	154,119	64	7	2017
9	<a href=https://manadr.com/>MaNaDr</a>	Health Care & Life Sciences	1428.55%	148.18%	9,477,000	620,000	77	30	2017
10	<a href=https://propseller.com/>Propseller</a>	Real Estate	1051.57%	125.82%	6,873,334	596,867	63	10	2018
11	<a href=https://doctoranywhere.com/>Doctor Anywhere</a>	Health Care & Life Sciences	1027.51%	124.24%	51,625,008	4,578,693	560	127	2017
12	<a href=https://www.affable.ai/>Affable.ai</a>	Advertising & Marketing	1007.34%	122.89%	2,907,293	262,548	61	11	2017
13	<a href=https://www.nium.com/>Nium</a>	Fintech, Financial Services & Insurance	944.33%	118.58%	111,367,342	10,551,762	1019	334	2014
14	<a href=https://www.parknparcel.com.sg/>Park N Parcel</a>	Logistics & Transportation	917.22%	116.67%	3,703,434	364,073	17	8	2016
15	<a href=https://icarebenefits.asia/home_en>iCare Benefits Group</a>	Fintech, Financial Services & Insurance	898.62%	115.34%	8,951,605	886,963	112	29	2015
16	<a href=https://carro.co/sg/en>Carro</a>	Automotive	834.83%	110.66%	1,105,972,480	118,307,634	2783	329	2015
17	<a href=https://www.simplifynext.com/>SimplifyNext</a>	IT & Software	782.56%	106.66%	8,821,116	999,497	66	16	2018
18	<a href=https://technopals.com/>Technopals</a>	IT & Software	689.43%	99.12%	39,852,515	5,048,265	444	64	2009
19	<a href=https://yoowifi.com/>Yoowifi</a>	Media & Telecommunications	592.87%	90.64%	3,547,474	511,995	15	3	2013
20	<a href=https://sleek.com/sg/>Sleek</a>	Fintech, Financial Services & Insurance	540.55%	85.72%	16,941,634	2,644,863	389	60	2017
21	<a href=https://synagie.com/>Synagie</a>	Ecommerce	481.98%	79.87%	112,677,000	19,361,000	406	208	2014
22	<a href=https://www.partipost.com/>Partipost</a>	Advertising & Marketing	480.69%	79.74%	12,227,788	2,083,584	298	60	2016
23	<a href=https://grabjobs.co/>GrabJobs</a>	IT & Software	462.05%	77.80%	2,192,000	390,000	12	10	2015
24	<a href=https://wshexperts.com.sg/>WSH Experts</a>	Management Consulting	410.08%	72.14%	30,914,049	6,060,610	688	161	2018
25	<a href=https://www.prospect.sg/>Prospect Logistics</a>	Logistics & Transportation	401.61%	71.18%	14,638,392	2,918,262	67	30	2016
26	<a href=https://pragma.ltd/>Pragma</a>	Management Consulting	396.72%	70.62%	5,910,453	1,189,894	33	7	2016
27	<a href=https://aspireapp.com/>Aspire</a>	Fintech, Financial Services & Insurance	339.71%	63.83%	20,824,315	4,735,960	390	70	2017
28	<a href=https://declarators.com.sg/>Declarators</a>	Logistics & Transportation	338.56%	63.69%	4,340,002	989,597	60	24	2014
29	<a href=https://psenergy.com.sg/>PS Energy Group</a>	Energy & Utilities	326.62%	62.19%	314,601,000	73,742,000	104	55	2008
30	<a href=https://www.redpeak.sg/>Redpeak Advisers</a>	Fintech, Financial Services & Insurance	319.42%	61.27%	16,341,691	3,896,229	10	8	2016
31	<a href=https://x0pa.com/>X0PA Ai</a>	IT & Software	305.92%	59.52%	1,605,712	395,572	55	11	2017
32	<a href=https://www.oom.com.sg/>OOm Pte Ltd</a>	Advertising & Marketing	291.70%	57.64%	18,526,500	4,729,721	115	20	2006
33	<a href=https://mightyjaxx.com/>Mighty Jaxx Group</a>	Retail	279.62%	56.00%	30,210,825	7,958,277	151	32	2015
34	<a href=https://www.bitdeer.com/>Bitdeer</a>	IT & Software	275.51%	55.43%	459,567,615	121,097,670	183	88	2016
35	<a href=https://www.artizstudio.sg/>Korea Artiz Studio</a>	Professional, Scientific & Technical Services	261.15%	53.43%	4,415,713	1,222,675	28	15	2017
36	<a href=https://www.nimbusfacility.com/>Nimbus Group</a>	Professional, Scientific & Technical Services	260.53%	53.34%	6,167,389	1,710,658	219	68	2017
37	<a href=https://toku.co/>Toku</a>	IT & Software	256.70%	52.79%	29,745,790	8,251,475	72	20	2017
38	<a href=https://www.uparcel.sg/>uParcel</a>	Logistics & Transportation	243.59%	50.90%	1,695,127	493,356	32	20	2014
39	<a href=https://crayondata.ai/>Crayon Data</a>	IT & Software	239.82%	50.34%	19,578,450	5,700,816	171	108	2012
40	<a href=https://mlioncorp.com/>MLION Corp</a>	Wholesale	233.71%	49.44%	253,911,407	75,287,925	48	38	2011
41	<a href=https://www.fourstar.com.sg/>Four Star</a>	Retail	228.49%	48.65%	20,142,423	6,131,856	81	46	1976
42	<a href=https://gvt.com.sg/>Grand Venture Technology</a>	Manufacturing	227.11%	48.45%	131,087,000	40,074,000	1304	667	2012
43	<a href=https://iixglobal.com/>Impact Investment Exchange</a>	Management Consulting	224.56%	48.06%	7,644,064	2,355,237	54	24	2009
44	<a href=https://www.freshlaundry.com.sg/>Fresh Laundry</a>	Retail	222.22%	47.70%	2,919,458	906,039	12	6	2011
45	<a href=https://fundingsocieties.com/>Funding Societies | Modalku</a>	Fintech, Financial Services & Insurance	217.93%	47.04%	36,615,280	11,516,670	608	420	2015
46	<a href=https://www.info-tech.com.sg/>Info-Tech</a>	IT & Software	213.42%	46.34%	26,508,603	8,457,874	75	65	2007
47	<a href=https://www.bluewireless.com/>Blue Wireless</a>	Media & Telecommunications	212.05%	46.13%	11,915,875	3,818,537	74	45	2015
48	<a href=https://www.supremecomponents.com/>Supreme Components International</a>	Wholesale	201.68%	44.49%	55,912,565	18,338,725	35	29	2001
49	<a href=https://www.prince.education/>Prince Education</a>	Education & Social Services	192.72%	43.05%	1,567,800	535,600	20	10	2007
50	<a href=https://www.envirotec-controls.com/>Envirotec Controls</a>	Construction & Engineering	190.50%	42.69%	4,188,895	1,441,962	42	22	2009
51	<a href=https://www.codapayments.com/>Coda Payments</a>	Fintech, Financial Services & Insurance	185.62%	41.88%	319,130,450	110,556,012	491	104	2011
52	<a href=https://kindlekids.sg/>Kindle Kids International School</a>	Education & Social Services	185.26%	41.82%	6,039,227	2,117,085	28	16	2017
53	<a href=https://www.sparksystems.sg/>Spark Systems</a>	Fintech, Financial Services & Insurance	181.72%	41.23%	3,377,749	1,198,972	51	41	2016
54	<a href=https://www.ingenious.sg/>Ingenious Business Software</a>	IT & Software	180.28%	40.99%	3,630,852	1,295,425	19	16	2001
55	<a href=https://wewe.media/>WEWE Media</a>	Advertising & Marketing	173.20%	39.80%	36,294,142	13,144,942	8	10	2013
56	<a href=https://aem.com.sg/>AEM Holdings</a>	IT & Software	169.39%	39.14%	870,491,000	323,130,000	2898	585	1992
57	<a href=https://www.mci.com.sg/>MCI Outsourcing</a>	Professional, Scientific & Technical Services	159.87%	37.48%	34,239,642	13,175,665	1592	1103	2016
58	<a href=https://www.alphaori.sg/>Alpha Ori Technologies</a>	IT & Software	155.28%	36.67%	19,990,672	7,748,417	216	88	2017
59	<a href=https://weima.sg/>Weima Builders</a>	Construction & Engineering	154.61%	36.55%	87,668,293	34,432,173	152	65	2017
60	<a href=https://www.propnex.com/>PropNex</a>	Real Estate	145.14%	34.84%	1,029,193,000	419,837,000	153	96	2000
61	<a href=http://www.enova-electric.com/>Enova Electrical</a>	Electrical Manufacturing	142.01%	34.26%	12,894,000	5,328,000	45	22	2008
62	<a href=https://globalalliancelog.com/>Global Alliance Logistics</a>	Logistics & Transportation	136.68%	33.27%	21,193,436	8,954,645	30	17	2013
