Rank,Name,Website,Sector,Absolute growth rate (in %),Compound annual growth rate (CAGR) (in %),Revenue 2018 (in SGD),Revenue 2015 (in SGD),Number of employees 2018,Number of employees 2015,Founding year
1,Synagie Corporation,http://www.synagie.com,Ecommerce,8380.07438754431,339.339131642655,16051.0,189.0,100.0,23.0,2014
2,Sinanju Tankers Holdings,http://www.sinanju.com.sg,Transport,3738.0952380952,237.317274311162,806000.0,21000.0,250.0,140.0,1992
3,Grab Holdings,http://www.grab.com,Technology,3603.7037037037,233.333333333333,1362323.0,36783.0,6000.0,1000.0,2012
4,Coda Payments,http://www.codapay.com,Fintech,3423.5217963306,227.837770394067,38895.0,1104.0,61.0,22.0,2015
5,KC Group,http://www.kcgroup.sg,Retail,2417.5249648397,193.083427606732,24273.0,964.0,50.0,100.0,2013
6,BR Metals,http://www.brmetalsltd.sg,Waste management & recycling,2175.5971341439,183.377344369558,46950.0,2063.0,14.0,6.0,2014
7,Roadbull Logistics,http://www.roadbull.com,Technology,2166.0098522168,182.97881998494,4600.0,203.0,100.0,7.0,2015
8,GlobalTix,http://www.globaltix.com,Travel & Leisure,1950.0093978121,173.685601957483,37738.0,1841.0,48.0,6.0,2013
9,Red Dot Payment,http://reddotpayment.com,Fintech,1891.1832072895,171.042299796846,8354.0,420.0,70.0,29.0,2011
10,Cynopsis Solutions,http://www.cynopsis.co,Technology,1337.7287092675,143.160100947885,3089.0,215.0,30.0,3.0,2014
11,Sunseap Group,http://www.sunseap.com,Energy,1314.1581763684,141.823960513123,46529.0,3290.0,138.0,45.0,2015
12,Sqreem Technologies,http://sqreemtech.com,Technology,1197.3956845191,134.976347975338,2452.0,189.0,66.0,19.0,2010
13,Blue Wireless,http://www.bluewireless.com,Telecoms,1170.3183867666,133.330150620303,2296.0,181.0,21.0,1.0,2015
14,DROOTOO,http://www.drootoo.com,Technology,1150.0,132.079441680639,2500.0,200.0,25.0,7.0,2013
15,McMerhons,http://www.mcmerhons.com,Technology,900.0,115.443469003188,1500.0,150.0,10.0,10.0,2007
16,Boxgreen,http://www.boxgreen.co,Ecommerce,791.0891089109,107.319607784296,1800.0,202.0,20.0,6.0,2014
