Rank,Name,Sector,Absolute growth rate,Compound annual growth rate (CAGR),Revenue 2020,Revenue 2017,Number of employees 2020,Number of employees 2017,Founding year,Website
1,Workmate,Support Services,8750.5,345.6,16472391.0,187834.0,82.0,35.0,2015,https://www.workmate.asia/
2,SCI Ecommerce,Ecommerce,7295.1,319.7,149667650.0,2023879.0,164.0,13.0,2014,https://www.sciecomm.com/
3,Haulio,Transport,3294.2,223.8,7755156.0,228481.0,21.0,3.0,2016,https://www.haulio.io/
4,Glints Intern,Support Services,2849.0,209.0,13499789.0,457769.0,318.0,27.0,2013,https://glints.com/
5,Carro,Technology,1763.1,165.1,296663592.0,15922992.0,974.0,120.0,2015,https://carro.sg/
6,360F,Fintech,1732.9,163.7,5006258.0,273127.0,30.0,5.0,2016,https://www.360f.com/
7,BR Metals,Waste management & recycling,1671.8,160.7,189525888.0,10795669.0,26.0,13.0,2009,https://www.brmetalsltd.com/
8,Bulkings Distribution,Personal & Household Goods,1642.9,159.3,14696698.0,843216.0,20.0,9.0,2017,https://www.bulkings.com.sg/
9,Nium,Fintech,1399.2,146.6,22041442.0,1470189.0,422.0,115.0,2015,https://www.nium.com/
10,Hegen,Personal & Household Goods,1282.1,140.0,33539409.0,2426628.0,22.0,10.0,2014,https://www.hegen.com/
11,Redpeak Advisers,Financial Services,1229.1,136.9,13953225.0,1049863.0,7.0,4.0,2016,https://www.redpeak.sg/
12,WAVE Life Sciences,Health,1097.9,128.8,26586967.0,2239907.0,217.0,168.0,2012,https://wavelifesciences.com/
13,Coda Payments,Fintech,1094.3,128.6,191832154.0,16210823.0,232.0,25.0,2011,https://www.codapayments.com/
14,Funding Societies,Fintech,879.5,114.0,21572790.0,2222716.0,353.0,100.0,2015,https://fundingsocieties.com
15,Incomlend,Fintech,839.1,111.0,3610839.0,388056.0,37.0,8.0,2016,https://incomlend.com/
16,Blue Wireless,Telecoms,748.6,104.0,6042712.0,712070.0,50.0,24.0,2015,https://www.bluewireless.com/
17,JCO Jewelry,Ecommerce,746.1,103.8,8454305.0,999263.0,21.0,5.0,2016,https://www.jcojewellery.com
18,Spark Systems,Fintech,694.5,99.5,1756422.0,221063.0,49.0,26.0,2016,https://www.sparksystems.sg/
19,Sqreem Technologies,Technology,671.2,97.6,8070114.0,1046466.0,175.0,48.0,2010,https://sqreemtech.com/
20,Homage Co,Health,610.7,92.3,7000000.0,985000.0,120.0,15.0,2016,https://www.homage.sg/
