Rank,Name,Sector,Absolute growth rate,Compound annual growth rate,Revenue 2022,Revenue 2019,Number of employees in 2022,Number of employees in 2019,Founding year,Website
1,Rex International Holding,Energy & Utilities,126017.78,980.42,234730465.0,184161.0,51,28,2013,https://www.rexih.com/
2,ISO Tank Management,Logistics & Transportation,5647.26,285.91,124064923.0,2135962.0,6,3,2014,https://eway-alliance.com/
3,SKRYA,Waste management & recycling,3482.63,229.66,11238432.0,313692.0,10,1,2019,https://www.skrya.com.sg/
4,KodeKloud,Education & Social Services,2936.32,211.97,7029648.0,231519.0,7,2,2019,https://kodekloud.com/
5,Lionsbot,Manufacturing,2052.01,178.15,21660384.0,1006517.0,128,25,2018,https://www.lionsbot.com/
6,iX Biopharma,Pharmaceuticals & Cosmetics,2044.56,177.83,14390000.0,671000.0,43,51,2004,https://www.ixbiopharma.com/
7,Maneuver Marketing,Ecommerce,1924.61,172.55,168647845.0,8242251.0,31,16,2001,https://maneuvermarketing.com/
8,Rocketech,IT & Software,1463.25,150.04,2409265.0,154119.0,64,7,2017,https://rocketech.it/
9,MaNaDr,Health Care & Life Sciences,1428.55,148.18,9477000.0,620000.0,77,30,2017,https://manadr.com/
10,Propseller,Real Estate,1051.57,125.82,6873334.0,596867.0,63,10,2018,https://propseller.com/
11,Doctor Anywhere,Health Care & Life Sciences,1027.51,124.24,51625008.0,4578693.0,560,127,2017,https://doctoranywhere.com/
12,Affable.ai,Advertising & Marketing,1007.34,122.89,2907293.0,262548.0,61,11,2017,https://www.affable.ai/
13,Nium,"Fintech, Financial Services & Insurance",944.33,118.58,111367342.0,10551762.0,1019,334,2014,https://www.nium.com/
14,Park N Parcel,Logistics & Transportation,917.22,116.67,3703434.0,364073.0,17,8,2016,https://www.parknparcel.com.sg/
15,iCare Benefits Group,"Fintech, Financial Services & Insurance",898.62,115.34,8951605.0,886963.0,112,29,2015,https://icarebenefits.asia/home_en
16,Carro,Automotive,834.83,110.66,1105972480.0,118307634.0,2783,329,2015,https://carro.co/sg/en
17,SimplifyNext,IT & Software,782.56,106.66,8821116.0,999497.0,66,16,2018,https://www.simplifynext.com/
18,Technopals,IT & Software,689.43,99.12,39852515.0,5048265.0,444,64,2009,https://technopals.com/
19,Yoowifi,Media & Telecommunications,592.87,90.64,3547474.0,511995.0,15,3,2013,https://yoowifi.com/
20,Sleek,"Fintech, Financial Services & Insurance",540.55,85.72,16941634.0,2644863.0,389,60,2017,https://sleek.com/sg/
